model,preset,thr,precision,recall,f1,coverage,queries
embedding-data/deberta-sentence-transformer,F_recall_first,-0.35,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.29999999999999993,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.25,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.19999999999999996,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.1499999999999999,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.09999999999999998,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,-0.04999999999999993,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.0,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.050000000000000044,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.10000000000000009,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.15000000000000013,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.20000000000000018,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.25,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.30000000000000004,0.10465116279069768,1.0,0.18947368421052632,1.0,86
embedding-data/deberta-sentence-transformer,F_recall_first,0.3500000000000001,0.10465116279069768,1.0,0.18947368421052632,1.0,86
